Company Name,Website Link,update_link,scrape,comments
INGENIERIX IMMOBILIER,https:\/\/ingenierix-ci.com\/?fbclid=IwAR0sK6KFZobEbSG7PNjkvEpLpC7aTsVlXzGJd1GftZ0Y--8noFLhYOKkHDs,https://ingenierix-ci.com/offres-immobilieres/,1,
INOOVIM - GROUPE KAYDAN,http:\/\/citecallisto-bnetd.com,,0,not real estate agency
INTER IMMOBILIER-CI (IICI),http:\/\/www.interimmobilier.ci\/,,0,innacessible
INTERCONFIMO,https:\/\/www.interconfimo.com\/,,0,website in construction
INTERNATIONAL IMMOBILIER HOLDING,https:\/\/ich-ci.com\/,,0,innacessible
IREA IMMOBILIER (INTERNATIONAL REAL ESTATE AGENCY),https:\/\/www.ireaconseils.com\/,,0,innacessible
ISIS SARL,http:\/\/www.isis-immobilier.com,https://isis-immobilier.com/biens-en-vente,1,
ISMAIL IMMOBILIER,http:\/\/www.ismailimmobilier.com,,0,no listings on website
IVI MARKET,https:\/\/www.ivi-market.com,,0,404 error
IVOIRLOGEMENT.COM,http:\/\/www.ivoirlogement.com,,0,innacessible
ImmOver,https:\/\/www.immover.io\/,,0,innacessible
JK IMMOBILIER,http:\/\/www.jkimmo.com,,0,no listings on website
JLM IMMOBILIER,https:\/\/jlm-immobilier.com\/,,0,innacessible
JOELKA PROPERTY MANAGEMENT,https:\/\/joelka-property.com\/,https://joelka-property.com/en/sales,1,
KABOUSS SERVICE,http:\/\/www.kabouss.com,,0,innacessible
KALIMBA,https:\/\/kalimbaimmobilier.com\/,http://agence168860.aivoni.com/transaction/,1,
KLA CONSTRUCTION,https:\/\/klaconstruction.ci\/,,0,no listings on website
KLE IMMOBILIER,http:\/\/www.kleimmobilier.com,,0,no listings on website
KONOR CONSTRUCTION Sarl,http:\/\/www.konorconstructions.com,,0,not real estate agency
LES RESIDENCES KOFFI,https:\/\/l.facebook.com\/l.php?u=https%3A%2F%2Flesresidenceskoffi.com%2F%3Ffbclid%3DIwAR1BcANDerPK4-ADnESC4jkXPnpPtgoOUf-eHTXl9a7uwhvD-r8a1lcFVjg&h=AT1eRO7LJadg7zVuKdJXxANzwu-zQMCcKJtgi0QrEO-wORlJU8w40rruDuHFbUOJ8Fcwdhn7xTvJg1XQHZ1uSyh_F7QUdaUZOE5b6jUjOrP3quQ5RYVF5oikIT1PsPN1acbqng,,0,
LOCHIE AND LOCHIE,http:\/\/www.facebook.com\/ma,,0,
MAM CONSEIL,https:\/\/mam-conseil.com\/,https://mam-conseil.com/action/vente/,1,
MAYA IMMOBILIER SARL,https:\/\/maya-immobilier.com\/,https://maya-immobilier.com/biens-a-vendre/,1,
MD IMMOBILIER,https:\/\/www.mdimmo-ci.com\/fr\/,https://www.mdimmo-ci.com/en/sales,1,
MGJM,http:\/\/www.immobiliers-mgjm.com,https://www.immobiliers-mgjm.com/,1,
ODIMMO PARTNERS,https:\/\/www.odimmo.com\/,,0,innacessible
PERFECTOR IMMOBILIER COTE D'IVOIRE,https:\/\/perfectorimmobilier.ci,https://perfectorimmobilier.ci/,1,
PERFORMER IMMOBILIER,http:\/\/www.groupeperformer.com,,0,innacessible
PETRA IMMOBILIER,http:\/\/www.petraltd.com,,0,not real estate agency
PIS GROUP,https:\/\/pisgroup-ci.com\/,,0,not real estate agency
PLAGES ET LAGUNES,http:\/\/plagesetlagunes.ci,,0,innacessible
